rank,name,position,bat_side,team,home_away,batting_order,venue,opp_team,opp_pitcher,pitcher_hand,days_rest,lineup_confirmed,composite_score,projected_fpts,rolling_7d_fpts_g,rolling_14d_fpts_g,rolling_30d_fpts_g,woba,wrc_plus,bb_pct,k_pct,iso,babip,xwoba_7d,xwoba_14d,xwoba_30d,barrel_pct_7d,barrel_pct_14d,barrel_pct_30d,hard_hit_pct_7d,hard_hit_pct_14d,hard_hit_pct_30d,avg_ev_7d,avg_ev_14d,avg_ev_30d,ev_stdev_30d,ev_floor_30d,ev_ceiling_30d,doc_avg_ev_30d,opp_era,opp_fip,opp_whip,opp_k_pct,platoon_same_hand,platoon_advantage,platoon_batter_woba,platoon_batter_split,platoon_pitcher_woba_against,platoon_pitcher_split,platoon_edge_woba,park_hr_factor,park_runs_factor,park_hits_factor,temp_f,wind_speed_mph,wind_direction,precip_pct,is_indoor
1,Angel Genao,3B,S,Cleveland Guardians,home,9,Progressive Field,New York Mets,Nolan McLean,R,1,True,16.251,16.0,16.0,16.0,16.0,,,,,,,0.521,0.521,0.521,12.5,12.5,12.5,50.0,50.0,50.0,87.5,87.5,87.5,11.0,75.6,98.4,82.8,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
2,Ceddanne Rafaela,CF,R,Boston Red Sox,home,2,Fenway Park,Chicago White Sox,Luis Castillo,R,1,False,15.906,5.78,18.67,14.0,11.32,,,,,,,0.443,0.345,0.297,8.5,5.7,3.8,17.0,17.0,17.8,81.1,80.4,80.8,13.8,64.5,100.4,83.9,5.06,4.43,1.39,0.194,True,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
3,Luis Arraez,2B,L,Philadelphia Phillies,home,4,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,15.569,4.59,14.5,14.5,14.5,,,,,,,0.314,0.33,0.296,4.8,2.4,1.3,14.3,9.4,9.5,83.4,82.3,81.6,12.7,66.5,94.8,84.6,5.67,5.82,1.35,0.119,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
4,Pete Crow-Armstrong,CF,L,Chicago Cubs,home,1,Wrigley Field,Toronto Blue Jays,Dylan Cease,R,1,False,15.02,3.05,14.86,15.54,13.12,,,,,,,0.441,0.41,0.367,5.8,8.9,6.3,28.8,32.2,27.8,83.5,84.0,83.6,14.5,67.1,102.6,83.4,2.41,2.23,1.08,0.362,False,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
5,Wilyer Abreu,RF,L,Boston Red Sox,home,3,Fenway Park,Chicago White Sox,Luis Castillo,R,1,False,14.041,4.56,17.17,10.33,10.4,,,,,,,0.591,0.377,0.413,14.7,6.9,10.4,38.2,23.6,29.6,86.2,82.0,82.8,17.2,65.4,104.7,86.1,5.06,4.43,1.39,0.194,False,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
6,Elly De La Cruz,SS,S,Cincinnati Reds,home,1,Great American Ball Park,Athletics,Mason Barnett,R,1,True,13.668,4.89,14.17,11.42,12.0,,,,,,,0.414,0.398,0.406,3.1,7.1,8.5,25.0,35.7,35.0,84.4,87.0,86.8,15.3,65.1,107.0,90.0,4.85,4.78,1.31,0.23,False,batter,0.325,vs RHP,0.278,vs RHB,0.047,1.12,1.08,1.04,83.8,4.9,W,0,False
7,James McCann,C,R,Arizona Diamondbacks,home,7,Chase Field,San Diego Padres,Walker Buehler,R,1,False,12.794,5.15,12.5,11.83,14.0,,,,,,,0.339,0.349,0.357,4.2,2.6,5.5,16.7,17.9,23.6,80.6,81.8,83.1,15.4,64.2,102.2,86.5,5.18,4.35,1.45,0.202,True,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
8,Max Clark,CF,L,Detroit Tigers,away,7,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,12.698,2.83,12.6,12.6,12.6,,,,,,,0.391,0.391,0.391,0.0,0.0,0.0,20.0,20.0,20.0,82.5,82.5,82.5,10.5,71.2,98.4,82.0,2.8,3.74,0.92,0.261,False,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
9,CJ Abrams,SS,L,Washington Nationals,away,1,Citizens Bank Park,Philadelphia Phillies,Cristopher Sánchez,L,1,False,12.554,3.0,10.57,13.08,13.42,,,,,,,0.299,0.327,0.392,2.6,6.5,7.9,28.9,27.4,30.7,84.7,83.7,84.2,15.9,64.3,103.2,87.4,2.61,2.54,1.2,0.279,True,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
10,Dillon Dingler,C,R,Detroit Tigers,away,3,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,12.513,2.53,16.0,10.0,9.86,,,,,,,0.448,0.377,0.351,11.8,5.6,5.0,20.6,15.5,18.2,80.7,81.1,80.8,14.1,64.1,100.8,82.1,2.8,3.74,0.92,0.261,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
11,Gleyber Torres,2B,R,Detroit Tigers,away,2,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,12.373,2.64,15.0,10.5,10.0,,,,,,,0.364,0.316,0.319,6.5,4.3,3.8,32.3,24.3,21.5,86.2,85.1,83.9,11.2,71.7,99.1,84.8,2.8,3.74,0.92,0.261,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
12,Tyler Stephenson,C,R,Cincinnati Reds,home,4,Great American Ball Park,Athletics,Mason Barnett,R,2,True,11.783,4.1,13.75,10.0,8.44,,,,,,,0.41,0.388,0.402,8.0,7.0,7.8,16.0,20.9,23.3,79.3,81.7,82.9,14.5,65.6,101.4,86.8,4.85,4.78,1.31,0.23,True,batter,0.33,vs RHP,0.278,vs RHB,0.052,1.12,1.08,1.04,83.8,4.9,W,0,False
13,Sal Stewart,1B,R,Cincinnati Reds,home,2,Great American Ball Park,Athletics,Mason Barnett,R,1,True,11.72,4.91,11.83,10.42,9.75,,,,,,,0.363,0.341,0.309,5.7,4.8,5.8,17.1,19.4,19.4,83.5,85.4,83.5,12.2,69.7,101.2,85.7,4.85,4.78,1.31,0.23,True,batter,0.325,vs RHP,0.278,vs RHB,0.047,1.12,1.08,1.04,83.8,4.9,W,0,False
14,Seiya Suzuki,RF,R,Chicago Cubs,home,2,Wrigley Field,Toronto Blue Jays,Dylan Cease,R,1,False,11.522,2.54,11.17,11.5,12.29,,,,,,,0.41,0.31,0.373,6.5,4.5,6.9,29.0,17.9,22.1,86.6,82.7,83.1,14.2,66.6,104.3,84.5,2.41,2.23,1.08,0.362,True,,,,,,,1.05,1.03,1.02,73.7,5.4,SE,0,False
15,Kevin McGonigle,SS,L,Detroit Tigers,away,1,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,11.477,2.68,12.8,10.09,8.91,,,,,,,0.308,0.304,0.298,3.1,1.4,2.1,21.9,20.8,20.0,85.1,83.3,81.4,15.1,62.6,98.7,83.1,2.8,3.74,0.92,0.261,False,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
16,Randy Arozarena,LF,R,Seattle Mariners,home,2,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,11.475,3.88,12.17,9.92,9.29,,,,,,,0.373,0.343,0.366,2.9,5.5,4.5,31.4,27.4,24.1,85.1,83.8,83.5,15.6,65.9,103.0,86.7,4.41,3.84,1.39,0.184,False,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
17,Matt Olson,1B,L,Atlanta Braves,home,3,Truist Park,Miami Marlins,Janson Junk,R,1,False,11.364,4.19,11.67,10.23,9.32,,,,,,,0.403,0.358,0.342,8.6,10.0,7.6,20.0,22.9,24.2,78.9,81.5,83.0,15.4,65.5,105.9,85.9,4.58,4.21,1.33,0.181,False,,,,,,,1.03,1.02,1.01,79.3,5.7,SSW,20,False
18,Bryce Harper,1B,L,Philadelphia Phillies,home,3,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,11.171,4.91,11.0,10.17,8.17,,,,,,,0.467,0.423,0.33,5.4,7.2,4.4,24.3,21.7,18.5,84.7,83.7,82.4,14.7,66.0,102.7,82.6,5.67,5.82,1.35,0.119,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
19,Chase DeLauter,RF,L,Cleveland Guardians,home,2,Progressive Field,New York Mets,Nolan McLean,R,1,True,11.151,2.8,11.4,9.55,10.39,,,,,,,0.41,0.366,0.39,3.2,3.3,5.2,32.3,31.1,33.3,83.1,82.7,84.3,16.2,64.0,104.4,88.9,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
20,Bobby Witt Jr.,SS,R,Kansas City Royals,home,2,Kauffman Stadium,Minnesota Twins,Bailey Ober,R,1,False,10.871,3.12,11.5,11.5,6.82,,,,,,,0.352,0.352,0.309,10.0,10.0,5.5,30.0,30.0,25.5,85.8,85.8,82.9,14.8,65.6,102.8,86.8,4.45,4.57,1.23,0.172,True,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
21,Endy Rodríguez,C,S,Pittsburgh Pirates,away,6,American Family Field,Milwaukee Brewers,Dustin May,R,1,False,10.856,4.11,11.17,10.12,10.12,,,,,,,0.286,0.253,0.253,3.0,2.4,2.4,21.2,21.4,21.4,84.2,83.8,83.8,11.9,69.4,99.2,84.9,4.38,2.95,1.28,0.231,False,,,,,,,1.06,1.03,1.02,74.0,4.0,S,0,True
22,Luis Torrens,C,R,New York Mets,away,8,Progressive Field,Cleveland Guardians,Foster Griffin,L,2,True,10.789,2.52,14.5,8.4,7.18,,,,,,,0.518,0.347,0.329,9.1,4.2,1.9,45.5,33.3,28.8,86.6,87.2,84.7,14.0,68.6,100.0,88.5,3.06,3.91,1.07,0.221,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
23,Bryson Stott,2B,L,Philadelphia Phillies,home,8,Citizens Bank Park,Washington Nationals,Miles Mikolas,R,1,False,10.736,5.22,10.17,10.67,8.46,,,,,,,0.485,0.394,0.361,0.0,1.6,3.3,34.1,31.2,29.8,85.3,84.7,85.5,12.9,70.4,101.4,84.2,5.67,5.82,1.35,0.119,False,,,,,,,1.08,1.06,1.03,86.5,10.5,SW,0,False
24,Caleb Durbin,3B,R,Boston Red Sox,home,6,Fenway Park,Chicago White Sox,Luis Castillo,R,1,False,10.646,4.59,11.83,9.33,9.36,,,,,,,0.355,0.325,0.315,3.1,1.5,0.7,18.8,12.1,13.1,77.6,76.4,77.6,16.1,60.1,96.7,78.5,5.06,4.43,1.39,0.194,True,,,,,,,0.95,1.05,1.1,84.4,7.4,W,85,False
25,Nathaniel Lowe,DH,L,Cleveland Guardians,home,4,Progressive Field,New York Mets,Nolan McLean,R,1,True,10.536,2.85,12.0,8.67,8.8,,,,,,,0.317,0.34,0.331,0.0,0.0,2.9,36.6,27.1,29.1,85.9,83.8,84.8,14.4,67.0,104.3,87.1,3.29,3.16,1.12,0.284,False,,,,,,,1.0,1.0,1.0,82.9,7.9,WNW,0,False
26,Geraldo Perdomo,SS,S,Arizona Diamondbacks,home,3,Chase Field,San Diego Padres,Walker Buehler,R,1,False,10.474,4.28,10.5,9.38,8.75,,,,,,,0.362,0.34,0.317,6.7,4.4,2.2,30.0,23.5,19.4,85.8,83.7,82.7,14.2,65.1,98.4,86.0,5.18,4.35,1.45,0.202,False,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
27,Royce Lewis,3B,R,Minnesota Twins,away,5,Kauffman Stadium,Kansas City Royals,Michael Wacha,R,1,False,10.432,3.36,10.67,10.75,9.22,,,,,,,0.384,0.379,0.355,10.0,7.4,7.0,40.0,38.9,29.6,88.0,88.5,85.8,15.4,68.5,105.9,89.5,3.51,3.82,1.16,0.197,True,,,,,,,0.95,0.97,0.98,73.3,5.5,SW,0,False
28,Eduardo Valencia,C,R,Detroit Tigers,away,8,T-Mobile Park,Seattle Mariners,Bryce Miller,R,1,False,10.29,3.15,8.5,13.0,10.17,,,,,,,0.375,0.321,0.355,15.4,10.3,11.1,38.5,31.0,31.1,86.2,84.9,83.6,17.1,66.4,103.4,89.5,2.8,3.74,0.92,0.261,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
29,Corbin Carroll,RF,L,Arizona Diamondbacks,home,2,Chase Field,San Diego Padres,Walker Buehler,R,1,False,10.136,4.65,8.83,10.0,9.0,,,,,,,0.308,0.358,0.331,2.8,6.0,6.3,41.7,40.5,36.4,85.6,85.9,85.1,15.1,66.9,103.7,87.8,5.18,4.35,1.45,0.202,False,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
30,Jackson Merrill,CF,L,San Diego Padres,away,5,Chase Field,Arizona Diamondbacks,Kohl Drake,L,1,False,9.922,4.66,9.43,9.69,10.16,,,,,,,0.325,0.356,0.388,5.0,6.8,6.1,22.5,26.0,26.7,85.3,85.8,84.0,13.6,66.9,102.3,87.9,4.85,5.41,1.46,0.203,True,,,,,,,1.05,1.03,1.02,92.5,6.4,WNW,0,True
31,Cole Young,2B,L,Seattle Mariners,home,1,T-Mobile Park,Detroit Tigers,Framber Valdez,L,1,False,9.88,3.36,10.0,8.92,8.58,,,,,,,0.352,0.379,0.345,2.5,2.5,2.6,30.0,27.8,27.1,86.2,85.7,83.8,14.5,65.8,103.2,82.0,4.41,3.84,1.39,0.184,True,,,,,,,0.9,0.93,0.95,67.9,0.7,WNW,0,True
